[button_test] temporary human-readable hardware diagnostic
[button_test] NOT the production serial protocol
[button_test] no debounce, repeat, or long-press logic
[button_test] polling interval: 1 ms
[button_test] initial button=1 gpio=GP2 level=1 state=RELEASED
[button_test] initial button=2 gpio=GP3 level=1 state=RELEASED
[button_test] initial button=3 gpio=GP4 level=1 state=RELEASED
[button_test] initial button=4 gpio=GP5 level=1 state=RELEASED
[button_test] initial button=5 gpio=GP6 level=1 state=RELEASED
[button_test] initial button=6 gpio=GP7 level=1 state=RELEASED
[button_test] initial button=7 gpio=GP8 level=1 state=RELEASED
[button_test] elapsed_us=7857810 button=3 gpio=GP4 level=0 state=PRESSED
[button_test] elapsed_us=8153760 button=3 gpio=GP4 level=1 state=RELEASED
[button_test] elapsed_us=9621142 button=1 gpio=GP2 level=0 state=PRESSED
[button_test] elapsed_us=9940876 button=1 gpio=GP2 level=1 state=RELEASED
[button_test] elapsed_us=12567737 button=4 gpio=GP5 level=0 state=PRESSED
[button_test] elapsed_us=12865857 button=2 gpio=GP3 level=0 state=PRESSED
[button_test] elapsed_us=13893448 button=2 gpio=GP3 level=1 state=RELEASED
[button_test] elapsed_us=14056415 button=4 gpio=GP5 level=1 state=RELEASED
[button_test] elapsed_us=16934215 button=2 gpio=GP3 level=0 state=PRESSED
[button_test] elapsed_us=17307015 button=2 gpio=GP3 level=1 state=RELEASED
[button_test] elapsed_us=18057292 button=3 gpio=GP4 level=0 state=PRESSED
[button_test] elapsed_us=18337292 button=3 gpio=GP4 level=1 state=RELEASED
[button_test] elapsed_us=19459079 button=3 gpio=GP4 level=0 state=PRESSED
[button_test] elapsed_us=19722278 button=3 gpio=GP4 level=1 state=RELEASED
[button_test] elapsed_us=20012817 button=4 gpio=GP5 level=0 state=PRESSED
[button_test] elapsed_us=20016921 button=1 gpio=GP2 level=0 state=PRESSED
[button_test] elapsed_us=20297939 button=1 gpio=GP2 level=1 state=RELEASED
[button_test] elapsed_us=20303384 button=4 gpio=GP5 level=1 state=RELEASED
[button_test] elapsed_us=20305337 button=4 gpio=GP5 level=0 state=PRESSED
[button_test] elapsed_us=20306362 button=4 gpio=GP5 level=1 state=RELEASED
[button_test] elapsed_us=20307410 button=4 gpio=GP5 level=0 state=PRESSED
[button_test] elapsed_us=20308473 button=4 gpio=GP5 level=1 state=RELEASED
